powder,media,plating,test,mean_count,mean_spread_percent,mean_count_wNA,SPR,SPRs,temp_media,mean_count2,log_mean_count,log_mean_count_wNA,mean_spread_percent_wNA,SPRs_wNA,SPR_wNA
C,SMA,Spread,STSE,20,0,20,no,none,Spread,20,1.301029996,1.301029996,0,none,no
C,SMA,SpreadwOverlay,HHR.TSC,240,0,240,no,none,SpreadwOverlay,240,2.380211242,2.380211242,0,none,no
C,SMA,SpreadwOverlay,SP.MSC,60,0,60,no,none,SpreadwOverlay,60,1.77815125,1.77815125,0,none,no
C,SMA,SpreadwOverlay,SP.TSC,440,12.5,440,no,no,SpreadwOverlay,440,2.643452676,2.643452676,12.5,no,no
C,SMA,SpreadwOverlay,STSE,0,0,0,no,none,SpreadwOverlay,10,1,1,0,none,no
C,TSAwS,Pour,HHR.TSC,300,0,300,no,none,Pour,300,2.477121255,2.477121255,0,none,no
C,TSAwS,Pour,SP.MSC,150,0,150,no,none,Pour,150,2.176091259,2.176091259,0,none,no
C,TSAwS,Pour,SP.TSC,50,90,50,yes,yes,Pour,50,1.698970004,1.698970004,90,yes,yes
C,TSAwS,Pour,STSE,50,0,50,no,none,Pour,50,1.698970004,1.698970004,0,none,no
C,TSAwS,Spread,HHR.TSC,20,0,20,no,none,Spread,20,1.301029996,1.301029996,0,none,no
C,TSAwS,Spread,SP.MSC,180,0,180,no,none,Spread,180,2.255272505,2.255272505,0,none,no
C,TSAwS,Spread,SP.TSC,80,30,80,yes,yes,Spread,80,1.903089987,1.903089987,30,yes,yes
C,TSAwS,Spread,STSE,20,0,20,no,none,Spread,20,1.301029996,1.301029996,0,none,no
C,TSAwS,SpreadwOverlay,HHR.TSC,40,0,40,no,none,SpreadwOverlay,40,1.602059991,1.602059991,0,none,no
C,TSAwS,SpreadwOverlay,SP.MSC,200,0,200,no,none,SpreadwOverlay,200,2.301029996,2.301029996,0,none,no
C,TSAwS,SpreadwOverlay,SP.TSC,360,85,360,yes,yes,SpreadwOverlay,360,2.556302501,2.556302501,85,yes,yes
